rank,token,count
1,the,17368774
2,i,17358048
3,you,14004989
4,a,9497893
5,to,9285121
6,and,8840911
7,my,7596578
8,me,7106001
9,it,6094157
10,in,6054495
11,i'm,5408643
12,that,4736933
13,on,4498020
14,of,4257710
15,your,3852080
16,like,3669128
17,all,3427011
18,we,3403749
19,is,3224626
20,for,3181806
21,with,3075754
22,don't,3075398
23,up,3044221
24,but,3015960
25,be,2994354
26,this,2828024
27,know,2789029
28,so,2700753
29,just,2632728
30,no,2487331
31,got,2328483
32,it's,2174428
33,they,2062629
34,get,2061473
35,when,2057275
36,what,1995916
37,now,1859617
38,out,1786187
39,love,1770599
40,do,1739690
41,if,1656810
42,can,1624314
43,go,1543702
44,she,1470918
45,not,1454040
46,see,1422683
47,was,1419455
48,ain't,1414014
49,never,1413871
50,time,1357972
51,from,1298425
52,can't,1296697
53,down,1293567
54,one,1276466
55,are,1251507
56,back,1215038
57,you're,1193133
58,at,1179637
59,cause,1178031
60,want,1177033
61,make,1154407
62,say,1062180
63,have,1058945
64,will,1057599
65,wanna,1045755
66,shit,1013800
67,been,1012610
68,take,1012176
69,let,999854
70,her,986452
71,how,974291
72,way,970652
73,need,956108
74,fuck,934547
75,feel,932195
76,i'll,917818
77,come,912974
78,life,903658
79,as,895466
80,bitch,875145
81,he,868260
82,baby,845475
83,that's,837530
84,nigga,828352
85,these,825721
86,right,810425
87,man,809716
88,tell,785827
89,some,771095
90,then,769775
91,here,762813
92,them,760656
93,keep,737576
94,more,714328
95,about,711070
96,think,707027
97,too,705479
98,where,703290
99,i've,702403
100,still,691123
101,or,689475
102,niggas,684565
103,could,680469
104,by,673738
105,why,669518
106,give,658701
107,through,653226
108,who,650546
109,off,650439
110,only,636804
111,our,630108
112,girl,625280
113,there,623373
114,day,623118
115,away,620282
116,gonna,598572
117,us,583573
118,am,583139
119,had,578421
120,night,575551
121,heart,563884
122,look,560777
123,every,553546
124,won't,548106
125,said,542758
126,gotta,539304
127,mind,537324
128,really,526988
129,money,522985
130,always,521496
131,good,521351
132,even,514980
133,put,499610
134,an,492123
135,world,489249
136,em,486801
137,around,484057
138,better,480474
139,his,478800
140,over,473449
141,call,461050
142,would,458064
143,again,451940
